mission,mss_id,tm_id,roi_id
L4,LANDSAT/LT04/C02/T2/LT04_023023_19830129,LANDSAT/LM04/C02/T2/LM04_023023_19830129,ROI_0320
L4,LANDSAT/LT04/C02/T2/LT04_076015_19920804,LANDSAT/LM04/C02/T2/LM04_076015_19920804,ROI_0323
L4,LANDSAT/LT04/C02/T2/LT04_076015_19920820,LANDSAT/LM04/C02/T2/LM04_076015_19920820,ROI_0323
L4,LANDSAT/LT04/C02/T2/LT04_078014_19920615,LANDSAT/LM04/C02/T2/LM04_078014_19920615,ROI_0323
L4,LANDSAT/LT04/C02/T2/LT04_166058_19891123,LANDSAT/LM04/C02/T2/LM04_166058_19891123,ROI_0333
L4,LANDSAT/LT04/C02/T2/LT04_070017_19920810,LANDSAT/LM04/C02/T2/LM04_070017_19920810,ROI_0357
L4,LANDSAT/LT04/C02/T2/LT04_051023_19821216,LANDSAT/LM04/C02/T2/LM04_051023_19821216,ROI_0366
L4,LANDSAT/LT04/C02/T2/LT04_053021_19821128,LANDSAT/LM04/C02/T2/LM04_053021_19821128,ROI_0375
L4,LANDSAT/LT04/C02/T2/LT04_053021_19821214,LANDSAT/LM04/C02/T2/LM04_053021_19821214,ROI_0375
L4,LANDSAT/LT04/C02/T2/LT04_053021_19821230,LANDSAT/LM04/C02/T2/LM04_053021_19821230,ROI_0375
L4,LANDSAT/LT04/C02/T2/LT04_053022_19821128,LANDSAT/LM04/C02/T2/LM04_053022_19821128,ROI_0375
L4,LANDSAT/LT04/C02/T2/LT04_053022_19821214,LANDSAT/LM04/C02/T2/LM04_053022_19821214,ROI_0375
L4,LANDSAT/LT04/C02/T2/LT04_049024_19830103,LANDSAT/LM04/C02/T2/LM04_049024_19830103,ROI_0377
L4,LANDSAT/LT04/C02/T2/LT04_050024_19821209,LANDSAT/LM04/C02/T2/LM04_050024_19821209,ROI_0377
L4,LANDSAT/LT04/C02/T2/LT04_050024_19821225,LANDSAT/LM04/C02/T2/LM04_050024_19821225,ROI_0377
L4,LANDSAT/LT04/C02/T2/LT04_050024_19830110,LANDSAT/LM04/C02/T2/LM04_050024_19830110,ROI_0377
L4,LANDSAT/LT04/C02/T2/LT04_050024_19830126,LANDSAT/LM04/C02/T2/LM04_050024_19830126,ROI_0377
L4,LANDSAT/LT04/C02/T2/LT04_068017_19890516,LANDSAT/LM04/C02/T2/LM04_068017_19890516,ROI_0388
L4,LANDSAT/LT04/C02/T2/LT04_155007_19880531,LANDSAT/LM04/C02/T2/LM04_155007_19880531,ROI_0394
L4,LANDSAT/LT04/C02/T2/LT04_055020_19821212,LANDSAT/LM04/C02/T2/LM04_055020_19821212,ROI_0397
L4,LANDSAT/LT04/C02/T2/LT04_055020_19830113,LANDSAT/LM04/C02/T2/LM04_055020_19830113,ROI_0397
L4,LANDSAT/LT04/C02/T2/LT04_049024_19830103,LANDSAT/LM04/C02/T2/LM04_049024_19830103,ROI_0404
L4,LANDSAT/LT04/C02/T2/LT04_047025_19830105,LANDSAT/LM04/C02/T2/LM04_047025_19830105,ROI_0415
L4,LANDSAT/LT04/C02/T2/LT04_055021_19830113,LANDSAT/LM04/C02/T2/LM04_055021_19830113,ROI_0419
L4,LANDSAT/LT04/C02/T2/LT04_049024_19830103,LANDSAT/LM04/C02/T2/LM04_049024_19830103,ROI_0429
L4,LANDSAT/LT04/C02/T2/LT04_049025_19821116,LANDSAT/LM04/C02/T2/LM04_049025_19821116,ROI_0429
L4,LANDSAT/LT04/C02/T2/LT04_049025_19821218,LANDSAT/LM04/C02/T2/LM04_049025_19821218,ROI_0429
L4,LANDSAT/LT04/C02/T2/LT04_049025_19830103,LANDSAT/LM04/C02/T2/LM04_049025_19830103,ROI_0429
L4,LANDSAT/LT04/C02/T2/LT04_049025_19830119,LANDSAT/LM04/C02/T2/LM04_049025_19830119,ROI_0429
L4,LANDSAT/LT04/C02/T2/LT04_050024_19821209,LANDSAT/LM04/C02/T2/LM04_050024_19821209,ROI_0431
L4,LANDSAT/LT04/C02/T2/LT04_050024_19821225,LANDSAT/LM04/C02/T2/LM04_050024_19821225,ROI_0431
L4,LANDSAT/LT04/C02/T2/LT04_050024_19830110,LANDSAT/LM04/C02/T2/LM04_050024_19830110,ROI_0431
L4,LANDSAT/LT04/C02/T2/LT04_050024_19830126,LANDSAT/LM04/C02/T2/LM04_050024_19830126,ROI_0431
L4,LANDSAT/LT04/C02/T2/LT04_071016_19920716,LANDSAT/LM04/C02/T2/LM04_071016_19920716,ROI_0433
L4,LANDSAT/LT04/C02/T2/LT04_053022_19821128,LANDSAT/LM04/C02/T2/LM04_053022_19821128,ROI_0440
L4,LANDSAT/LT04/C02/T2/LT04_053022_19821214,LANDSAT/LM04/C02/T2/LM04_053022_19821214,ROI_0440
L4,LANDSAT/LT04/C02/T2/LT04_051023_19821216,LANDSAT/LM04/C02/T2/LM04_051023_19821216,ROI_0445
L4,LANDSAT/LT04/C02/T2/LT04_155007_19880531,LANDSAT/LM04/C02/T2/LM04_155007_19880531,ROI_0449
L4,LANDSAT/LT04/C02/T2/LT04_155008_19880531,LANDSAT/LM04/C02/T2/LM04_155008_19880531,ROI_0449
L4,LANDSAT/LT04/C02/T2/LT04_155008_19880702,LANDSAT/LM04/C02/T2/LM04_155008_19880702,ROI_0449
L4,LANDSAT/LT04/C02/T2/LT04_018018_19830126,LANDSAT/LM04/C02/T2/LM04_018018_19830126,ROI_0468
L4,LANDSAT/LT04/C02/T2/LT04_019018_19821114,LANDSAT/LM04/C02/T2/LM04_019018_19821114,ROI_0468
L4,LANDSAT/LT04/C02/T2/LT04_019018_19830202,LANDSAT/LM04/C02/T2/LM04_019018_19830202,ROI_0468
L4,LANDSAT/LT04/C02/T2/LT04_011019_19830210,LANDSAT/LM04/C02/T2/LM04_011019_19830210,ROI_0469
L4,LANDSAT/LT04/C02/T2/LT04_011020_19830210,LANDSAT/LM04/C02/T2/LM04_011020_19830210,ROI_0469
L4,LANDSAT/LT04/C02/T2/LT04_012019_19830116,LANDSAT/LM04/C02/T2/LM04_012019_19830116,ROI_0469
L4,LANDSAT/LT04/C02/T2/LT04_012019_19830201,LANDSAT/LM04/C02/T2/LM04_012019_19830201,ROI_0469
L4,LANDSAT/LT04/C02/T2/LT04_067016_19880623,LANDSAT/LM04/C02/T2/LM04_067016_19880623,ROI_0472
L4,LANDSAT/LT04/C02/T2/LT04_067016_19920906,LANDSAT/LM04/C02/T2/LM04_067016_19920906,ROI_0472
L4,LANDSAT/LT04/C02/T2/LT04_045024_19821120,LANDSAT/LM04/C02/T2/LM04_045024_19821120,ROI_0473
L4,LANDSAT/LT04/C02/T2/LT04_045024_19821222,LANDSAT/LM04/C02/T2/LM04_045024_19821222,ROI_0473
L4,LANDSAT/LT04/C02/T2/LT04_046023_19821127,LANDSAT/LM04/C02/T2/LM04_046023_19821127,ROI_0474
L4,LANDSAT/LT04/C02/T2/LT04_046023_19830130,LANDSAT/LM04/C02/T2/LM04_046023_19830130,ROI_0474
L4,LANDSAT/LT04/C02/T2/LT04_043025_19821208,LANDSAT/LM04/C02/T2/LM04_043025_19821208,ROI_0475
L4,LANDSAT/LT04/C02/T2/LT04_043025_19830109,LANDSAT/LM04/C02/T2/LM04_043025_19830109,ROI_0475
L4,LANDSAT/LT04/C02/T2/LT04_044025_19821215,LANDSAT/LM04/C02/T2/LM04_044025_19821215,ROI_0475
L4,LANDSAT/LT04/C02/T2/LT04_044025_19830116,LANDSAT/LM04/C02/T2/LM04_044025_19830116,ROI_0475
L4,LANDSAT/LT04/C02/T2/LT04_163017_19880608,LANDSAT/LM04/C02/T2/LM04_163017_19880608,ROI_0476
L4,LANDSAT/LT04/C02/T2/LT04_163017_19880912,LANDSAT/LM04/C02/T2/LM04_163017_19880912,ROI_0476
L4,LANDSAT/LT04/C02/T2/LT04_171015_19880819,LANDSAT/LM04/C02/T2/LM04_171015_19880819,ROI_0477
L4,LANDSAT/LT04/C02/T2/LT04_015036_19830206,LANDSAT/LM04/C02/T2/LM04_015036_19830206,ROI_0479
L4,LANDSAT/LT04/C02/T2/LT04_017037_19821202,LANDSAT/LM04/C02/T2/LM04_017037_19821202,ROI_0480
L4,LANDSAT/LT04/C02/T2/LT04_143019_19890903,LANDSAT/LM04/C02/T2/LM04_143019_19890903,ROI_0481
L4,LANDSAT/LT04/C02/T2/LT04_171017_19880819,LANDSAT/LM04/C02/T2/LM04_171017_19880819,ROI_0483
L4,LANDSAT/LT04/C02/T2/LT04_171017_19890923,LANDSAT/LM04/C02/T2/LM04_171017_19890923,ROI_0483
L4,LANDSAT/LT04/C02/T2/LT04_171018_19880819,LANDSAT/LM04/C02/T2/LM04_171018_19880819,ROI_0483
